Theme,Song Name
devotional,Main Balak Tu Mata
devotional,Kaal Bhairav Ashtakam
devotional,THE HANUMAN CHALISA RAP
devotional,Samay Samjhayega
devotional,Tum Prem Ho Reprise
devotional,Varaha Roopam Daiva Va Rishtam
devotional,Bhole Ke Bhajan
devotional,Kedarnath
devotional,Mere Ghar Ram Aaye Hain
devotional,Shiv Hain Na
devotional,Shiv Tandav
devotional,"Raamam, Bheemam"
